sample_id,ctax,ctax_redist
0,0.0,0.0
1,0.0,0.1
2,0.0,0.2
3,0.0,0.3
4,0.05263157894736842,0.0
5,0.05263157894736842,0.1
6,0.05263157894736842,0.2
7,0.05263157894736842,0.3
8,0.10526315789473684,0.0
9,0.10526315789473684,0.1
10,0.10526315789473684,0.2
11,0.10526315789473684,0.3
12,0.15789473684210525,0.0
13,0.15789473684210525,0.1
14,0.15789473684210525,0.2
15,0.15789473684210525,0.3
16,0.21052631578947367,0.0
17,0.21052631578947367,0.1
18,0.21052631578947367,0.2
19,0.21052631578947367,0.3
20,0.2631578947368421,0.0
21,0.2631578947368421,0.1
22,0.2631578947368421,0.2
23,0.2631578947368421,0.3
24,0.3157894736842105,0.0
25,0.3157894736842105,0.1
26,0.3157894736842105,0.2
27,0.3157894736842105,0.3
28,0.3684210526315789,0.0
29,0.3684210526315789,0.1
30,0.3684210526315789,0.2
31,0.3684210526315789,0.3
32,0.42105263157894735,0.0
33,0.42105263157894735,0.1
34,0.42105263157894735,0.2
35,0.42105263157894735,0.3
36,0.47368421052631576,0.0
37,0.47368421052631576,0.1
38,0.47368421052631576,0.2
39,0.47368421052631576,0.3
40,0.5263157894736842,0.0
41,0.5263157894736842,0.1
42,0.5263157894736842,0.2
43,0.5263157894736842,0.3
44,0.5789473684210527,0.0
45,0.5789473684210527,0.1
46,0.5789473684210527,0.2
47,0.5789473684210527,0.3
48,0.631578947368421,0.0
49,0.631578947368421,0.1
50,0.631578947368421,0.2
51,0.631578947368421,0.3
52,0.6842105263157894,0.0
53,0.6842105263157894,0.1
54,0.6842105263157894,0.2
55,0.6842105263157894,0.3
56,0.7368421052631579,0.0
57,0.7368421052631579,0.1
58,0.7368421052631579,0.2
59,0.7368421052631579,0.3
60,0.7894736842105263,0.0
61,0.7894736842105263,0.1
62,0.7894736842105263,0.2
63,0.7894736842105263,0.3
64,0.8421052631578947,0.0
65,0.8421052631578947,0.1
66,0.8421052631578947,0.2
67,0.8421052631578947,0.3
68,0.894736842105263,0.0
69,0.894736842105263,0.1
70,0.894736842105263,0.2
71,0.894736842105263,0.3
72,0.9473684210526315,0.0
73,0.9473684210526315,0.1
74,0.9473684210526315,0.2
75,0.9473684210526315,0.3
76,1.0,0.0
77,1.0,0.1
78,1.0,0.2
79,1.0,0.3
