sample_id,imp_norms,imp_norms_recreation
0,0.001,0.0
1,0.001,0.25
2,0.001,0.5
3,0.001,0.75
4,0.001,1.0
5,0.26410526315789473,0.0
6,0.26410526315789473,0.25
7,0.26410526315789473,0.5
8,0.26410526315789473,0.75
9,0.26410526315789473,1.0
10,0.5272105263157895,0.0
11,0.5272105263157895,0.25
12,0.5272105263157895,0.5
13,0.5272105263157895,0.75
14,0.5272105263157895,1.0
15,0.7903157894736842,0.0
16,0.7903157894736842,0.25
17,0.7903157894736842,0.5
18,0.7903157894736842,0.75
19,0.7903157894736842,1.0
20,1.0534210526315788,0.0
21,1.0534210526315788,0.25
22,1.0534210526315788,0.5
23,1.0534210526315788,0.75
24,1.0534210526315788,1.0
25,1.3165263157894735,0.0
26,1.3165263157894735,0.25
27,1.3165263157894735,0.5
28,1.3165263157894735,0.75
29,1.3165263157894735,1.0
30,1.5796315789473683,0.0
31,1.5796315789473683,0.25
32,1.5796315789473683,0.5
33,1.5796315789473683,0.75
34,1.5796315789473683,1.0
35,1.842736842105263,0.0
36,1.842736842105263,0.25
37,1.842736842105263,0.5
38,1.842736842105263,0.75
39,1.842736842105263,1.0
40,2.1058421052631577,0.0
41,2.1058421052631577,0.25
42,2.1058421052631577,0.5
43,2.1058421052631577,0.75
44,2.1058421052631577,1.0
45,2.3689473684210527,0.0
46,2.3689473684210527,0.25
47,2.3689473684210527,0.5
48,2.3689473684210527,0.75
49,2.3689473684210527,1.0
50,2.632052631578947,0.0
51,2.632052631578947,0.25
52,2.632052631578947,0.5
53,2.632052631578947,0.75
54,2.632052631578947,1.0
55,2.8951578947368417,0.0
56,2.8951578947368417,0.25
57,2.8951578947368417,0.5
58,2.8951578947368417,0.75
59,2.8951578947368417,1.0
60,3.1582631578947367,0.0
61,3.1582631578947367,0.25
62,3.1582631578947367,0.5
63,3.1582631578947367,0.75
64,3.1582631578947367,1.0
65,3.4213684210526316,0.0
66,3.4213684210526316,0.25
67,3.4213684210526316,0.5
68,3.4213684210526316,0.75
69,3.4213684210526316,1.0
70,3.684473684210526,0.0
71,3.684473684210526,0.25
72,3.684473684210526,0.5
73,3.684473684210526,0.75
74,3.684473684210526,1.0
75,3.9475789473684206,0.0
76,3.9475789473684206,0.25
77,3.9475789473684206,0.5
78,3.9475789473684206,0.75
79,3.9475789473684206,1.0
80,4.210684210526316,0.0
81,4.210684210526316,0.25
82,4.210684210526316,0.5
83,4.210684210526316,0.75
84,4.210684210526316,1.0
85,4.473789473684211,0.0
86,4.473789473684211,0.25
87,4.473789473684211,0.5
88,4.473789473684211,0.75
89,4.473789473684211,1.0
90,4.736894736842106,0.0
91,4.736894736842106,0.25
92,4.736894736842106,0.5
93,4.736894736842106,0.75
94,4.736894736842106,1.0
95,5.0,0.0
96,5.0,0.25
97,5.0,0.5
98,5.0,0.75
99,5.0,1.0
